id_reservation;id_compte;id_representation;id_spectacle;nom_spectacle;date_representation;horaire_representation;id_salle;nom_salle;id_categorie_billet;categorie_billet;id_cat_profil;profil_tarif;type_tarif;tarif_brut;nom_spectateur;prenom_spectateur;tel_spectateur;email_spectateur
RES0001;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP009;Carte Adulte;ABONNEMENT;23;Hilaire;Gaëlle;0624210249;gaelle4@hotmail.fr
RES0002;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP009;Carte Adulte;ABONNEMENT;23;Mrad;Selim;0771756551;selimmrad@hotmail.fr
RES0003;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP009;Carte Adulte;ABONNEMENT;23;Wang;Qian;0780715451;qian.wang4@free.fr
RES0004;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP009;Carte Adulte;ABONNEMENT;23;Musina;Dina;0638597703;dmusina@free.fr
RES0005;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP009;Carte Adulte;ABONNEMENT;23;Saad;Valentina;0171093248;valentina.saad@free.fr
RES0006;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP009;Carte Adulte;ABONNEMENT;23;Bardet;Charlotte;0117127484;charlotte.bardet11@outlook.fr
RES0007;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP009;Carte Adulte;ABONNEMENT;23;Lery;Jean-Michel;0139636057;jeanmichel.lery@gmail.com
RES0008;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP009;Carte Adulte;ABONNEMENT;23;Faure;Théo;0628951718;theo.faure15@gmail.com
RES0009;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP009;Carte Adulte;ABONNEMENT;23;Melite;Marlo;0700504556;melitepro@orange.fr
RES0010;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP010;Carte Jeune / Tarif moins de 28 ans;ABONNEMENT;13;Ward;Joyce ;0740344713;jward@yahoo.fr
RES0011;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP010;Carte Jeune / Tarif moins de 28 ans;ABONNEMENT;13;Poiret;Lisa;0164887719;lisa.poiret@outlook.fr
RES0012;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP010;Carte Jeune / Tarif moins de 28 ans;ABONNEMENT;13;Racine;Eva;0639904902;eva.racine6@free.fr
RES0013;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP010;Carte Jeune / Tarif moins de 28 ans;ABONNEMENT;13;Brun;Lucas;0739821465;lucas12@hotmail.fr
RES0014;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP010;Carte Jeune / Tarif moins de 28 ans;ABONNEMENT;13;Ferhaoui;Melissa;0121745961;melissa.f@yahoo.fr
RES0015;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP010;Carte Jeune / Tarif moins de 28 ans;ABONNEMENT;13;Lorrain;Capucine;0775869261;magicap@free.fr
RES0016;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP010;Carte Jeune / Tarif moins de 28 ans;ABONNEMENT;13;Tran;Duc;0197278755;ashtran13@free.fr
RES0017;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP010;Carte Jeune / Tarif moins de 28 ans;ABONNEMENT;13;Ngaburu;Keren;0178091343;keren.n@outlook.fr
RES0018;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP010;Carte Jeune / Tarif moins de 28 ans;ABONNEMENT;13;Benedetti;Enrico;0122219693;enrico.benedetti19@free.fr
RES0019;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP011;Carte Famille / Tarif adulte;ABONNEMENT;23;Mazat;Muriel;0799938677;muriel.mt@free.fr
RES0020;yuan_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP012;Carte Famille / Tarif moins de 28 ans;ABONNEMENT;13;Fleuret;Nathalie;0191334123;n.fleuret@free.fr
RES0021;amira_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP001;Plein tarif;INDIVIDUEL;26;Spectateur;Test021;0600000021;spectateur021@test.fr
RES0022;amira_pise;R460;S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE;2026-07-09;mercredi 20h30;SCST;Studio-Théâtre;SCST01;Non différencié;CP001;Plein tarif;INDIVIDUEL;26;Spectateur;Test022;0600000022;spectateur022@test.fr
